run_timestamp,model_type,scale_tag,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,return_best_iteration,rent_best_test,return_best_test,rent_final_metric,return_final_metric,rent_classifier_logloss,rent_regressor_poisson_pos,return_classifier_logloss,return_regressor_poisson_pos,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_od_wait,cb_iterations
auto_cb_20260417_111059_044,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,192,213,-2.1326431902711884,-2.112011655830844,1.0702905655693722,1.1728234669494093,,,,,Poisson,Poisson,0.03,9,3.0,30,3000
auto_cb_20260417_111126_045,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,159,214,-2.1289030468429684,-2.1157666710595677,1.077771613967963,1.165313017654268,,,,,Poisson,Poisson,0.03,9,4.0,15,3000
auto_cb_20260417_111151_046,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,194,214,-2.1326317504246473,-2.115785890001757,1.070312512131698,1.1652742760737769,,,,,Poisson,Poisson,0.03,9,4.0,30,3000
auto_cb_20260417_111218_047,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,167,211,-2.1288426444532305,-2.1076324825748256,1.077891956103747,1.1815812527450962,,,,,Poisson,Poisson,0.03,9,5.0,15,3000
auto_cb_20260417_111244_048,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,239,211,-2.135507270251274,-2.107630423402448,1.0645630385022773,1.1815866616955824,,,,,Poisson,Poisson,0.03,9,5.0,30,3000
auto_cb_20260417_111314_049,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,173,123,-2.1367642805892344,-2.115961606044632,1.0620485297274471,1.1649235680956687,,,,,Poisson,Poisson,0.03,10,3.0,15,3000
auto_cb_20260417_111345_050,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,173,218,-2.1367642805892344,-2.1282610426550694,1.0620492706940625,1.1403251052975214,,,,,Poisson,Poisson,0.03,10,3.0,30,3000
auto_cb_20260417_111424_051,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,164,170,-2.1321521920576347,-2.1233581532243893,1.0712747189978475,1.1501303704628885,,,,,Poisson,Poisson,0.03,10,4.0,15,3000
auto_cb_20260417_111456_052,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,164,254,-2.1321563104023897,-2.126952324210742,1.0712651743885098,1.1429425158960052,,,,,Poisson,Poisson,0.03,10,4.0,30,3000
auto_cb_20260417_111537_053,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,166,165,-2.1323702355327123,-2.1253791165143796,1.0708365847392822,1.1460877984026503,,,,,Poisson,Poisson,0.03,10,5.0,15,3000
auto_cb_20260417_111610_054,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,202,282,-2.1325061409096233,-2.130744175745329,1.0705647664462585,1.1353591364958544,,,,,Poisson,Poisson,0.03,10,5.0,30,3000
auto_cb_20260417_111656_055,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,82,-2.13323600311896,-2.108063307195572,1.0691050755127618,1.18071965235641,,,,,Poisson,Poisson,0.05,8,3.0,15,3000
auto_cb_20260417_111710_056,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,128,-2.1332373759005447,-2.1121210207637793,1.0691015036443208,1.1726052958701676,,,,,Poisson,Poisson,0.05,8,3.0,30,3000
auto_cb_20260417_111728_057,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,80,-2.134821794646518,-2.096021495929245,1.065934215980507,1.204802875369139,,,,,Poisson,Poisson,0.05,8,4.0,15,3000
